payment_id,member_id,application_id,event_id,event_attendance_id,invoice_id,payment_type,amount,currency,payment_status,payment_method,billing_period,due_date,paid_at
27,27,43.0,,,9257d302-1131-471c-9138-f07fbab72376,Initial Subscription,10000,DOP,Paid,Credit Card,2023,2023-04-22 05:15:29,2023-04-25 05:15:29
28,28,44.0,,,ecf163ee-4d8b-441f-86f9-cb99395fbde5,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-09-09 19:02:26,2025-09-17 19:02:26
29,29,46.0,,,202ce507-68a3-4320-8a5a-ec2b2f55e5f6,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-01-30 10:43:12,2024-02-11 10:43:12
30,30,47.0,,,dea695f4-bd48-4900-a85f-8c1cdc173194,Initial Subscription,10000,DOP,Paid,Check,2023,2023-03-17 17:16:51,2023-03-23 17:16:51
31,31,49.0,,,227dbc8f-fb0d-4db6-9a67-f58d78273568,Initial Subscription,10000,DOP,Paid,Cash,2026,2026-05-08 22:12:31,2026-05-30 22:12:31
32,32,50.0,,,3f38f537-3bfa-4fbe-9c2d-65ce303ddadd,Initial Subscription,10000,DOP,Paid,Bank Transfer,2024,2023-12-22 23:08:39,2024-01-08 23:08:39
33,33,51.0,,,0e29c12e-e907-4ae7-a222-f39ef00f7fc9,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-08-02 03:43:56,2025-08-09 03:43:56
34,34,52.0,,,680b220a-c354-42f5-baa0-1764c657c1b8,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-03-07 20:57:31,2025-03-22 20:57:31
35,35,53.0,,,5f322b99-33c1-45d0-bc9b-59fc56137abd,Initial Subscription,10000,DOP,Paid,Check,2025,2025-07-29 18:31:37,2025-08-16 18:31:37
36,36,55.0,,,e074cf5a-31db-4398-8a9b-6dabe0958c06,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-01-01 09:58:50,2024-01-13 09:58:50
37,37,56.0,,,f1e44154-9cce-493c-9e51-4265b6b3c921,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-03-24 21:30:48,2025-04-22 21:30:48
38,38,57.0,,,e8270f6c-eec5-4661-9053-21a678e8f5fa,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-09-21 18:20:18,2025-10-20 18:20:18
39,39,58.0,,,8aacff6c-aba8-490a-95d7-7211d2377811,Initial Subscription,10000,DOP,Paid,Check,2022,2022-04-24 08:52:44,2022-04-28 08:52:44
40,40,59.0,,,ff5e45ed-655d-4295-9200-9a780527a9cf,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2022-12-21 11:17:36,2023-01-19 11:17:36
41,41,61.0,,,2f976fda-80f7-43ad-a80b-d4b2cf805dce,Initial Subscription,10000,DOP,Paid,Cash,2023,2023-11-06 08:42:18,2023-11-28 08:42:18
42,42,65.0,,,982b555f-1eba-431c-b434-7dd9baf0c07c,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-05-23 13:32:04,2022-06-04 13:32:04
43,43,66.0,,,867d28bc-0006-4bf4-aa8d-d89567413f99,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-10-10 04:25:19,2025-10-26 04:25:19
44,44,67.0,,,c38f6afe-7d21-4934-8f65-59e47d765345,Initial Subscription,10000,DOP,Paid,Check,2021,2021-11-12 10:32:06,2021-11-14 10:32:06
45,45,72.0,,,787f1a4c-a205-4618-9341-63d2a113a3fa,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-12-16 10:39:16,2021-12-28 10:39:16
46,46,74.0,,,8d51dfb4-dc0c-444d-a6d1-ebd581165a52,Initial Subscription,10000,DOP,Paid,Cash,2023,2023-08-23 01:24:15,2023-08-25 01:24:15
47,47,76.0,,,c969b227-b399-4db3-873c-8a022573ed56,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-03-01 19:17:09,2025-03-30 19:17:09
48,48,79.0,,,770ecb31-30ba-4b8a-bbf6-9cb079e13623,Initial Subscription,10000,DOP,Paid,Cash,2025,2025-04-12 20:14:02,2025-04-15 20:14:02
49,49,80.0,,,3f5f7fdc-6cc7-4698-b07f-bebada18b438,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-02-14 00:11:03,2024-03-06 00:11:03
50,50,81.0,,,780764c1-ee95-4a3a-9686-7dcf0c228b72,Initial Subscription,10000,DOP,Paid,Check,2026,2026-06-16 15:35:31,2026-07-13 15:35:31
51,51,82.0,,,a4276689-94bf-4286-b830-a7cf74a5e6b0,Initial Subscription,10000,DOP,Paid,Check,2023,2023-04-23 21:39:50,2023-05-04 21:39:50
52,52,84.0,,,3f4c5fb5-b988-4c81-83f5-eff3d01dcc67,Initial Subscription,10000,DOP,Paid,Check,2026,2026-03-08 11:35:49,2026-03-22 11:35:49
53,53,86.0,,,62839b95-d875-4c81-aff5-d312de1d9d12,Initial Subscription,10000,DOP,Paid,Check,2022,2022-10-21 06:56:48,2022-11-06 06:56:48
54,54,87.0,,,7fe06fe9-91b8-45d1-86f8-3c8e69734306,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-02-01 10:26:35,2022-02-22 10:26:35
55,55,88.0,,,7fa39d5c-feea-4c24-91c3-11b6a847df03,Initial Subscription,10000,DOP,Paid,Cash,2023,2023-09-22 00:25:32,2023-10-08 00:25:32
56,56,89.0,,,ee1015e4-536e-44a7-8f77-43a780d4a6dc,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-11-13 08:09:06,2021-11-30 08:09:06
57,57,91.0,,,ca7c90d5-02d9-4115-b9e0-84ed55c1082f,Initial Subscription,10000,DOP,Paid,Bank Transfer,2026,2026-03-30 06:00:10,2026-04-11 06:00:10
58,58,92.0,,,afa56d29-0e24-48b8-810b-6887e123420f,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-02-25 01:18:58,2024-03-25 01:18:58
59,59,94.0,,,fef6cdbc-4706-4625-8ad6-8ec0a4808949,Initial Subscription,10000,DOP,Paid,Check,2026,2026-01-09 04:36:48,2026-02-02 04:36:48
60,60,97.0,,,7195b192-0bde-4c07-a969-14f65d21fc63,Initial Subscription,10000,DOP,Paid,Online Payment,2025,2025-10-13 18:09:52,2025-10-27 18:09:52
61,61,99.0,,,6654b21f-99c1-4362-a3f7-8f82b44a2637,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-11-16 09:57:27,2021-12-08 09:57:27
62,62,101.0,,,e50c12f4-9c1b-4dd7-b1f5-a5a12836443b,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-11-21 04:45:38,2024-12-17 04:45:38
63,63,102.0,,,f884f2a7-fd55-415a-bab5-9d8ff917a8b2,Initial Subscription,10000,DOP,Paid,Check,2022,2022-11-28 01:47:12,2022-12-18 01:47:12
64,64,103.0,,,afaf4da6-06f6-4dbe-bd8b-f35dc5fcff79,Initial Subscription,10000,DOP,Paid,Cash,2022,2022-04-29 02:39:42,2022-05-24 02:39:42
65,65,104.0,,,71026c76-edd8-4e5c-8468-619514e9a1fd,Initial Subscription,10000,DOP,Paid,Check,2022,2022-05-22 04:24:52,2022-06-11 04:24:52
66,66,106.0,,,2e955825-b5ee-4ca9-bb37-f8fd9cb61e93,Initial Subscription,10000,DOP,Paid,Bank Transfer,2023,2023-02-20 02:59:51,2023-02-21 02:59:51
67,67,107.0,,,679e7254-25c6-44ba-b317-2b9fb0928aeb,Initial Subscription,10000,DOP,Paid,Check,2024,2024-02-16 13:39:15,2024-03-02 13:39:15
68,68,108.0,,,844c9783-72da-42d0-a5d0-bd745b0ea850,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-08-23 10:48:43,2022-09-16 10:48:43
69,69,109.0,,,62c483ed-4a26-41b5-987b-521c2888e146,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-05-21 00:32:45,2024-06-09 00:32:45
70,70,110.0,,,9f03d1c1-5523-414e-8404-e4c33cd3788c,Initial Subscription,10000,DOP,Paid,Check,2024,2024-11-23 19:25:51,2024-11-24 19:25:51
71,71,111.0,,,bce2d349-1412-4377-abb3-ba244de5e902,Initial Subscription,10000,DOP,Paid,Credit Card,2023,2023-07-18 20:01:36,2023-08-14 20:01:36
72,72,115.0,,,1efe3f3d-7ff7-4204-ace4-117559ea2072,Initial Subscription,10000,DOP,Paid,Cash,2025,2025-10-04 14:13:38,2025-10-11 14:13:38
73,73,116.0,,,51c9f33a-712b-4082-b574-c1a71153fc0a,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2023-12-12 09:56:44,2024-01-10 09:56:44
74,74,117.0,,,d71522ad-8d17-40ba-9584-8ad4340b417d,Initial Subscription,10000,DOP,Paid,Check,2024,2024-01-10 20:44:01,2024-01-18 20:44:01
75,75,118.0,,,f2131de4-b99f-4386-b50d-c407c5491809,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-06-09 17:34:15,2025-06-23 17:34:15
76,76,119.0,,,47287014-2a22-497b-b13a-a5e1c9d6edba,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2023-05-04 14:28:27,2023-05-09 14:28:27
77,77,120.0,,,8db9c39b-50d3-46f8-a333-cf2dcd322a98,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-02-08 19:16:08,2022-02-13 19:16:08
78,78,122.0,,,971e940c-e117-4144-b778-323b172efc79,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-09-08 02:46:38,2022-09-27 02:46:38
79,79,125.0,,,8d95dad6-d8f2-46a8-98a8-ea36c959a7da,Initial Subscription,10000,DOP,Paid,Online Payment,2024,2023-12-07 07:18:19,2024-01-03 07:18:19
80,80,127.0,,,fb72b675-08c7-413f-abac-2ff975d9b43e,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-11-17 05:29:44,2022-11-20 05:29:44
81,81,128.0,,,4ddd51c2-8035-4d33-abd7-74e5818a92e7,Initial Subscription,10000,DOP,Paid,Check,2023,2023-02-15 06:23:07,2023-02-17 06:23:07
82,82,130.0,,,b63b25db-544f-4650-beae-1b6c01d4511d,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-07-23 18:18:23,2022-08-12 18:18:23
83,83,131.0,,,b0d092f8-3352-424d-83ca-dd8550bf964e,Initial Subscription,10000,DOP,Paid,Check,2024,2023-12-05 23:38:12,2024-01-04 23:38:12
84,84,132.0,,,5d5437ba-0091-4af9-8e71-24288cf57403,Initial Subscription,10000,DOP,Paid,Check,2026,2026-01-17 12:55:48,2026-01-27 12:55:48
85,85,133.0,,,56b71e2a-6452-450f-bddd-0da0321fba0a,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-06-12 06:17:08,2022-07-04 06:17:08
86,86,135.0,,,2455dd36-7a2b-42d9-a06c-85629e5bc2a5,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-08-14 02:58:04,2025-08-30 02:58:04
87,87,136.0,,,ded45a9d-3788-478f-8585-db006ff80ca1,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-06-05 00:06:44,2025-06-12 00:06:44
88,88,137.0,,,08823553-5ef7-4953-b20f-fd3d9e84c953,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-05-06 07:44:35,2024-05-21 07:44:35
89,89,140.0,,,b2be318e-bda2-415d-b414-9008c4f8f025,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-04-14 13:21:32,2025-05-06 13:21:32
90,90,141.0,,,15029eca-5965-47cd-8627-2f82f9476347,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2023-04-08 05:51:36,2023-04-17 05:51:36
91,91,142.0,,,0ba2148e-da20-4e06-b09c-19fbcc293cfa,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-02-02 16:48:27,2025-03-04 16:48:27
92,92,143.0,,,72cc9729-6a58-4b55-9b23-765a68a393cf,Initial Subscription,10000,DOP,Paid,Cash,2022,2022-05-13 01:02:38,2022-05-27 01:02:38
93,93,144.0,,,20e4d563-c78c-42c6-9098-6d742e821934,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-12-28 09:11:23,2025-12-31 09:11:23
94,94,146.0,,,635c4457-514c-4725-9b54-711e88e4050e,Initial Subscription,10000,DOP,Paid,Check,2021,2021-12-18 13:15:23,2021-12-25 13:15:23
95,95,148.0,,,732cccb9-8d83-404e-be09-78798c2993cd,Initial Subscription,10000,DOP,Paid,Online Payment,2025,2025-10-28 09:55:35,2025-11-23 09:55:35
96,96,150.0,,,ee655c70-d3f4-42c8-8731-2459c809029e,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-06-22 21:29:58,2025-07-19 21:29:58
97,97,154.0,,,f1c0460c-dd74-45f8-bbc6-fe012ee3a80c,Initial Subscription,10000,DOP,Paid,Online Payment,2021,2021-08-16 09:02:32,2021-08-19 09:02:32
98,98,155.0,,,3971ec1c-5566-402b-afd6-b289854c29e7,Initial Subscription,10000,DOP,Paid,Online Payment,2025,2025-08-18 01:04:36,2025-08-21 01:04:36
99,99,156.0,,,d070db0e-e09e-449d-91b4-9fc27325cd5a,Initial Subscription,10000,DOP,Paid,Check,2025,2025-06-19 01:53:34,2025-07-01 01:53:34
100,100,157.0,,,1c946125-27d4-439b-855a-2ab38e86e72e,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-11-11 19:48:15,2022-11-27 19:48:15
101,101,158.0,,,b99c92b8-f5dc-421a-ba80-894149edd76f,Initial Subscription,10000,DOP,Paid,Cash,2023,2023-08-10 02:09:24,2023-08-28 02:09:24
102,102,159.0,,,159fe675-4f67-426c-abaf-a88892d13183,Initial Subscription,10000,DOP,Paid,Cash,2025,2025-04-05 18:49:17,2025-05-05 18:49:17
103,103,160.0,,,7abcc672-1a7a-4ecc-b91f-4c723902877c,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-09-17 02:57:03,2025-09-27 02:57:03
104,104,161.0,,,e2e8d232-deec-4df0-80a5-4e3e3dc80de4,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-02-13 14:04:11,2022-02-17 14:04:11
105,105,162.0,,,90fcdf57-3135-4389-b040-df3a6d1522a1,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-07-12 14:59:06,2024-07-27 14:59:06
106,106,164.0,,,87787ad4-f517-48c0-9431-4919090c0ea6,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-07-02 23:27:32,2024-07-20 23:27:32
107,107,166.0,,,0888e9ba-373b-423c-87db-9ecc5f3a0393,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-05-01 01:18:43,2022-05-28 01:18:43
108,108,172.0,,,aef7c60b-42c4-40db-8f2c-242a68727ee3,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-06-27 12:52:55,2025-07-21 12:52:55
109,109,175.0,,,fa4fa0ff-3445-447c-8079-e2ecebdc2c9d,Initial Subscription,10000,DOP,Paid,Bank Transfer,2024,2024-05-16 20:31:25,2024-06-13 20:31:25
110,110,176.0,,,eef3dd4e-c742-487e-acd0-31a7dc401520,Initial Subscription,10000,DOP,Paid,Bank Transfer,2021,2021-07-24 17:35:02,2021-08-02 17:35:02
111,111,177.0,,,1fa5b820-edca-4574-8411-666dc35147f7,Initial Subscription,10000,DOP,Paid,Check,2024,2024-09-21 09:14:45,2024-10-15 09:14:45
112,112,178.0,,,32ee7a56-2971-4d80-b16b-6d036c62f1d7,Initial Subscription,10000,DOP,Paid,Credit Card,2023,2023-06-17 04:51:44,2023-06-24 04:51:44
113,113,180.0,,,56024538-6cf1-4228-a508-d13389259d6b,Initial Subscription,10000,DOP,Paid,Cash,2026,2025-12-08 14:41:35,2026-01-04 14:41:35
114,114,181.0,,,ef2ec509-0bc1-4e33-a9ec-66a9aaad67ba,Initial Subscription,10000,DOP,Paid,Online Payment,2024,2024-11-22 02:26:11,2024-12-04 02:26:11
115,115,185.0,,,5f13a3f0-7b12-4aa2-b98c-b633662acc6c,Initial Subscription,10000,DOP,Paid,Online Payment,2021,2021-11-14 03:04:28,2021-12-01 03:04:28
116,116,186.0,,,906a49ef-5992-494c-af1c-dd65fee50866,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2023-05-30 07:34:45,2023-06-28 07:34:45
117,117,187.0,,,3e56ea06-c8df-4c54-b2eb-44285b10e35c,Initial Subscription,10000,DOP,Paid,Online Payment,2026,2026-02-10 18:40:27,2026-03-12 18:40:27
118,118,188.0,,,ca6ed270-c0df-4534-a9fc-cbccbc29d2fd,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-11-02 02:22:57,2025-11-23 02:22:57
119,119,190.0,,,cf9615ca-19b9-4921-8a65-75ee53bfb921,Initial Subscription,10000,DOP,Paid,Check,2026,2026-05-18 12:21:51,2026-06-16 12:21:51
120,120,191.0,,,bebb99f4-f185-47d9-9186-082a00c4f5d9,Initial Subscription,10000,DOP,Paid,Online Payment,2024,2024-09-27 15:10:34,2024-10-26 15:10:34
121,121,192.0,,,e36a0c90-ab49-49ad-a388-a945c1d8d365,Initial Subscription,10000,DOP,Paid,Check,2024,2024-08-20 16:26:18,2024-09-04 16:26:18
122,122,193.0,,,a8b04733-e673-455b-bb3c-6de6712192d7,Initial Subscription,10000,DOP,Paid,Check,2022,2022-05-09 20:56:01,2022-05-21 20:56:01
123,123,195.0,,,030e6395-fa2b-418d-9a92-15f1217ea378,Initial Subscription,10000,DOP,Paid,Bank Transfer,2023,2023-10-22 12:48:23,2023-11-05 12:48:23
124,124,198.0,,,54058a01-2dc8-49e0-8a02-68074b2d91fb,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-12-03 13:11:37,2022-12-04 13:11:37
125,125,200.0,,,bfaeca43-cd96-4781-9338-782eb03dfb38,Initial Subscription,10000,DOP,Paid,Bank Transfer,2024,2024-02-07 11:05:21,2024-03-04 11:05:21
126,126,203.0,,,bcc57c88-9d66-46f0-a6a7-0b93887f5cd7,Initial Subscription,10000,DOP,Paid,Bank Transfer,2026,2026-05-19 00:47:54,2026-05-26 00:47:54
127,127,204.0,,,069a3c79-108f-4565-8c51-c283808fbfa1,Initial Subscription,10000,DOP,Paid,Cash,2022,2022-10-07 15:20:55,2022-10-18 15:20:55
128,128,205.0,,,51f5cb7e-e975-4bd6-8a63-6ba5a0d0940f,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-05-20 18:11:09,2022-05-30 18:11:09
129,129,206.0,,,7292e764-8752-4b4d-9349-0cc4ce510e87,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-11-24 14:56:37,2021-12-01 14:56:37
130,130,210.0,,,7c03a8d3-57b5-4faa-b613-2f0b26b83b54,Initial Subscription,10000,DOP,Paid,Credit Card,2026,2026-06-05 20:57:49,2026-07-03 20:57:49
131,131,211.0,,,5c1b2024-c18d-4cb7-8abd-f5fe80fc5ba8,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-10-07 13:00:44,2021-10-18 13:00:44
132,132,213.0,,,26237a14-a118-4b8b-b8fe-562dc8c0765b,Initial Subscription,10000,DOP,Paid,Credit Card,2022,2022-11-08 18:21:03,2022-11-13 18:21:03
133,133,214.0,,,272580c3-0572-4ddf-86c1-d0e50be521ff,Initial Subscription,10000,DOP,Paid,Cash,2023,2023-01-29 22:10:40,2023-02-26 22:10:40
134,134,216.0,,,0433d97c-1d38-4f3b-b0f2-750049c2e3ec,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-08-04 02:16:37,2022-08-18 02:16:37
135,135,218.0,,,5eae6541-15ec-4897-8948-3a08cb00249d,Initial Subscription,10000,DOP,Paid,Check,2022,2022-01-25 15:17:48,2022-02-14 15:17:48
136,136,219.0,,,bc324a49-7787-4f68-8a09-a2930f2c2286,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-05-20 15:28:10,2022-06-04 15:28:10
137,137,221.0,,,4d8fc6e9-c341-49a2-afb2-a181f331f60e,Initial Subscription,10000,DOP,Paid,Cash,2025,2025-02-14 19:39:06,2025-02-15 19:39:06
138,138,224.0,,,67f4062c-1def-45b4-bea4-57d4947148e2,Initial Subscription,10000,DOP,Paid,Cash,2022,2021-12-07 13:57:57,2022-01-01 13:57:57
139,139,228.0,,,abce5304-85e3-40ae-8386-e8896104833d,Initial Subscription,10000,DOP,Paid,Cash,2021,2021-08-01 13:27:43,2021-08-22 13:27:43
140,140,229.0,,,ae3750ce-c43b-48b0-ad99-6b2b1e6f1679,Initial Subscription,10000,DOP,Paid,Cash,2022,2022-04-17 09:16:14,2022-05-10 09:16:14
141,141,231.0,,,57e0f61e-1603-49b4-9d55-26afd2779fe5,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-08-09 21:26:47,2022-08-19 21:26:47
142,142,233.0,,,61e567c8-a133-40e9-9de1-a084a29d40fc,Initial Subscription,10000,DOP,Paid,Credit Card,2023,2023-06-04 08:20:41,2023-06-06 08:20:41
143,143,237.0,,,3b200dc9-16de-4e83-afcd-43f9f81df0c5,Initial Subscription,10000,DOP,Paid,Online Payment,2026,2026-04-19 11:39:10,2026-05-02 11:39:10
144,144,238.0,,,b4628103-0442-480b-88d7-234ca5dd0531,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2021-12-29 09:32:56,2022-01-13 09:32:56
145,145,239.0,,,a787130c-a9df-4670-b0c1-5f8e4686ae8b,Initial Subscription,10000,DOP,Paid,Cash,2025,2025-12-10 13:16:30,2025-12-26 13:16:30
146,146,240.0,,,0a9b3d13-0ac6-4dc0-8b87-a9be5b3613de,Initial Subscription,10000,DOP,Paid,Check,2025,2025-03-06 08:28:35,2025-03-08 08:28:35
147,147,241.0,,,55f16dbb-4fd7-4a9e-944a-5f1ddf26808c,Initial Subscription,10000,DOP,Paid,Check,2026,2026-05-29 20:20:22,2026-06-22 20:20:22
148,148,242.0,,,f2ef3eb1-08ae-457e-8d05-c1138d4f9a2d,Initial Subscription,10000,DOP,Paid,Check,2023,2023-08-26 22:32:56,2023-09-25 22:32:56
149,149,243.0,,,23457bfe-9650-4ed4-8dc1-4db4a406522f,Initial Subscription,10000,DOP,Paid,Check,2025,2025-03-26 06:49:33,2025-04-03 06:49:33
150,150,246.0,,,05ea20c5-7a41-488f-a04e-33bd214fbee8,Initial Subscription,10000,DOP,Paid,Check,2021,2021-11-11 20:39:47,2021-11-28 20:39:47
151,151,249.0,,,921809c9-e44f-4eaf-9fc7-a9fb67f8a403,Initial Subscription,10000,DOP,Paid,Credit Card,2021,2021-08-28 05:15:36,2021-09-02 05:15:36
152,152,250.0,,,ed4639fc-0981-4c17-ae88-8bec9f7aff61,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-06-04 10:01:06,2024-06-12 10:01:06
153,153,252.0,,,9b632d1f-4f67-4cae-a269-ce84a69bfb90,Initial Subscription,10000,DOP,Paid,Cash,2026,2025-12-09 08:33:51,2026-01-01 08:33:51
