application_status_history_id,application_id,status,status_start_at,status_end_at,changed_by
76,21,Under Review,2025-02-15 21:33:50,2025-03-05 21:33:50,membership_officer
77,21,Pending Payment,2025-03-05 21:33:50,2025-04-02 21:33:50,review_committee
78,21,Approved,2025-04-02 21:33:50,,review_committee
79,22,Submitted,2025-04-09 14:56:10,2025-04-13 14:56:10,system
80,22,Under Review,2025-04-13 14:56:10,2025-04-17 14:56:10,membership_officer
81,22,Pending Payment,2025-04-17 14:56:10,2025-05-06 14:56:10,membership_officer
82,22,Approved,2025-05-06 14:56:10,,membership_officer
83,23,Submitted,2025-03-31 01:53:44,2025-04-29 01:53:44,membership_officer
84,23,Under Review,2025-04-29 01:53:44,,system
85,24,Submitted,2022-03-19 16:49:04,2022-03-31 16:49:04,system
86,24,Under Review,2022-03-31 16:49:04,2022-04-19 16:49:04,review_committee
87,24,Pending Payment,2022-04-19 16:49:04,2022-05-02 16:49:04,review_committee
88,24,Approved,2022-05-02 16:49:04,,membership_officer
89,25,Submitted,2024-09-04 18:00:01,2024-09-08 18:00:01,membership_officer
90,25,Under Review,2024-09-08 18:00:01,2024-10-04 18:00:01,review_committee
91,25,Rejected,2024-10-04 18:00:01,,system
92,26,Submitted,2025-05-31 00:32:26,2025-06-05 00:32:26,membership_officer
93,26,Under Review,2025-06-05 00:32:26,2025-06-15 00:32:26,system
94,26,Rejected,2025-06-15 00:32:26,,review_committee
95,27,Submitted,2025-08-27 11:05:38,2025-09-04 11:05:38,membership_officer
96,27,Under Review,2025-09-04 11:05:38,2025-09-14 11:05:38,review_committee
97,27,Pending Payment,2025-09-14 11:05:38,2025-09-26 11:05:38,membership_officer
98,27,Approved,2025-09-26 11:05:38,,system
99,28,Submitted,2021-07-02 20:48:57,2021-07-08 20:48:57,membership_officer
100,28,Under Review,2021-07-08 20:48:57,2021-07-13 20:48:57,membership_officer
101,28,Rejected,2021-07-13 20:48:57,,system
102,29,Submitted,2023-12-06 02:01:39,2023-12-22 02:01:39,review_committee
103,29,Under Review,2023-12-22 02:01:39,2024-01-10 02:01:39,membership_officer
104,29,Pending Payment,2024-01-10 02:01:39,2024-01-23 02:01:39,membership_officer
105,29,Approved,2024-01-23 02:01:39,,membership_officer
106,30,Submitted,2023-11-03 13:10:43,2023-11-17 13:10:43,membership_officer
107,30,Withdrawn,2023-11-17 13:10:43,,membership_officer
108,31,Submitted,2023-09-04 13:39:23,,system
109,32,Submitted,2021-08-18 18:38:03,2021-09-03 18:38:03,system
110,32,Under Review,2021-09-03 18:38:03,2021-09-06 18:38:03,review_committee
111,32,Rejected,2021-09-06 18:38:03,,membership_officer
112,33,Submitted,2025-05-27 16:18:30,2025-06-26 16:18:30,membership_officer
113,33,Under Review,2025-06-26 16:18:30,2025-07-21 16:18:30,system
114,33,Pending Payment,2025-07-21 16:18:30,2025-08-06 16:18:30,system
115,33,Approved,2025-08-06 16:18:30,,review_committee
116,34,Submitted,2024-07-05 06:29:38,2024-07-15 06:29:38,system
117,34,Under Review,2024-07-15 06:29:38,2024-07-16 06:29:38,system
118,34,Pending Payment,2024-07-16 06:29:38,2024-08-10 06:29:38,membership_officer
119,34,Approved,2024-08-10 06:29:38,,review_committee
120,35,Submitted,2023-01-15 14:18:08,2023-02-08 14:18:08,system
121,35,Under Review,2023-02-08 14:18:08,2023-03-04 14:18:08,membership_officer
122,35,Pending Payment,2023-03-04 14:18:08,2023-03-13 14:18:08,system
123,35,Approved,2023-03-13 14:18:08,,membership_officer
124,36,Submitted,2024-01-16 15:57:26,2024-02-05 15:57:26,membership_officer
125,36,Under Review,2024-02-05 15:57:26,2024-02-29 15:57:26,review_committee
126,36,Pending Payment,2024-02-29 15:57:26,2024-03-06 15:57:26,membership_officer
127,36,Approved,2024-03-06 15:57:26,,membership_officer
128,37,Submitted,2022-08-24 18:04:09,2022-09-14 18:04:09,membership_officer
129,37,Under Review,2022-09-14 18:04:09,,membership_officer
130,38,Submitted,2022-11-13 18:42:46,2022-12-09 18:42:46,membership_officer
131,38,Under Review,2022-12-09 18:42:46,2022-12-19 18:42:46,membership_officer
132,38,Rejected,2022-12-19 18:42:46,,review_committee
133,39,Submitted,2026-03-26 22:43:49,2026-04-13 22:43:49,system
134,39,Under Review,2026-04-13 22:43:49,2026-04-26 22:43:49,review_committee
135,39,Pending Payment,2026-04-26 22:43:49,2026-05-20 22:43:49,system
136,39,Approved,2026-05-20 22:43:49,,system
137,40,Submitted,2022-08-06 23:45:26,2022-08-16 23:45:26,system
138,40,Under Review,2022-08-16 23:45:26,2022-08-23 23:45:26,system
139,40,Pending Payment,2022-08-23 23:45:26,2022-09-02 23:45:26,membership_officer
140,40,Approved,2022-09-02 23:45:26,,review_committee
141,41,Submitted,2022-08-31 04:00:43,2022-09-28 04:00:43,system
142,41,Under Review,2022-09-28 04:00:43,2022-10-17 04:00:43,system
143,41,Pending Payment,2022-10-17 04:00:43,,review_committee
144,42,Submitted,2022-06-28 17:36:13,2022-07-12 17:36:13,membership_officer
145,42,Under Review,2022-07-12 17:36:13,2022-07-31 17:36:13,membership_officer
146,42,Pending Payment,2022-07-31 17:36:13,2022-08-25 17:36:13,membership_officer
147,42,Approved,2022-08-25 17:36:13,,membership_officer
148,43,Submitted,2023-04-08 05:15:29,2023-04-13 05:15:29,review_committee
149,43,Under Review,2023-04-13 05:15:29,2023-04-22 05:15:29,system
150,43,Pending Payment,2023-04-22 05:15:29,2023-04-25 05:15:29,system
151,43,Approved,2023-04-25 05:15:29,,membership_officer
152,44,Submitted,2025-08-07 19:02:26,2025-08-17 19:02:26,system
153,44,Under Review,2025-08-17 19:02:26,2025-09-09 19:02:26,review_committee
154,44,Pending Payment,2025-09-09 19:02:26,2025-09-17 19:02:26,system
155,44,Approved,2025-09-17 19:02:26,,membership_officer
156,45,Submitted,2025-11-06 14:09:43,,membership_officer
157,46,Submitted,2024-01-18 10:43:12,2024-01-19 10:43:12,review_committee
158,46,Under Review,2024-01-19 10:43:12,2024-01-30 10:43:12,review_committee
159,46,Pending Payment,2024-01-30 10:43:12,2024-02-11 10:43:12,review_committee
160,46,Approved,2024-02-11 10:43:12,,membership_officer
161,47,Submitted,2023-03-08 17:16:51,2023-03-16 17:16:51,membership_officer
162,47,Under Review,2023-03-16 17:16:51,2023-03-17 17:16:51,membership_officer
163,47,Pending Payment,2023-03-17 17:16:51,2023-03-23 17:16:51,membership_officer
164,47,Approved,2023-03-23 17:16:51,,review_committee
165,48,Submitted,2023-11-04 01:00:24,2023-11-17 01:00:24,membership_officer
166,48,Under Review,2023-11-17 01:00:24,2023-12-15 01:00:24,system
167,48,Rejected,2023-12-15 01:00:24,,system
168,49,Submitted,2026-05-01 22:12:31,2026-05-04 22:12:31,membership_officer
169,49,Under Review,2026-05-04 22:12:31,2026-05-08 22:12:31,membership_officer
170,49,Pending Payment,2026-05-08 22:12:31,2026-05-30 22:12:31,membership_officer
171,49,Approved,2026-05-30 22:12:31,,system
172,50,Submitted,2023-11-17 23:08:39,2023-11-25 23:08:39,membership_officer
173,50,Under Review,2023-11-25 23:08:39,2023-12-22 23:08:39,system
174,50,Pending Payment,2023-12-22 23:08:39,2024-01-08 23:08:39,membership_officer
175,50,Approved,2024-01-08 23:08:39,,system
176,51,Submitted,2025-07-09 03:43:56,2025-07-14 03:43:56,membership_officer
177,51,Under Review,2025-07-14 03:43:56,2025-08-02 03:43:56,system
178,51,Pending Payment,2025-08-02 03:43:56,2025-08-09 03:43:56,membership_officer
179,51,Approved,2025-08-09 03:43:56,,review_committee
180,52,Submitted,2025-02-01 20:57:31,2025-02-17 20:57:31,membership_officer
181,52,Under Review,2025-02-17 20:57:31,2025-03-07 20:57:31,system
182,52,Pending Payment,2025-03-07 20:57:31,2025-03-22 20:57:31,review_committee
183,52,Approved,2025-03-22 20:57:31,,system
184,53,Submitted,2025-06-11 18:31:37,2025-07-04 18:31:37,review_committee
185,53,Under Review,2025-07-04 18:31:37,2025-07-29 18:31:37,system
186,53,Pending Payment,2025-07-29 18:31:37,2025-08-16 18:31:37,membership_officer
187,53,Approved,2025-08-16 18:31:37,,membership_officer
188,54,Submitted,2026-03-22 05:09:38,2026-04-10 05:09:38,review_committee
189,54,Under Review,2026-04-10 05:09:38,,review_committee
190,55,Submitted,2023-11-23 09:58:50,2023-12-17 09:58:50,system
191,55,Under Review,2023-12-17 09:58:50,2024-01-01 09:58:50,review_committee
192,55,Pending Payment,2024-01-01 09:58:50,2024-01-13 09:58:50,membership_officer
193,55,Approved,2024-01-13 09:58:50,,review_committee
194,56,Submitted,2025-02-13 21:30:48,2025-02-26 21:30:48,system
195,56,Under Review,2025-02-26 21:30:48,2025-03-24 21:30:48,system
196,56,Pending Payment,2025-03-24 21:30:48,2025-04-22 21:30:48,membership_officer
197,56,Approved,2025-04-22 21:30:48,,membership_officer
198,57,Submitted,2025-08-30 18:20:18,2025-09-18 18:20:18,system
199,57,Under Review,2025-09-18 18:20:18,2025-09-21 18:20:18,system
200,57,Pending Payment,2025-09-21 18:20:18,2025-10-20 18:20:18,membership_officer
201,57,Approved,2025-10-20 18:20:18,,membership_officer
202,58,Submitted,2022-03-16 08:52:44,2022-03-28 08:52:44,review_committee
203,58,Under Review,2022-03-28 08:52:44,2022-04-24 08:52:44,review_committee
204,58,Pending Payment,2022-04-24 08:52:44,2022-04-28 08:52:44,review_committee
205,58,Approved,2022-04-28 08:52:44,,review_committee
206,59,Submitted,2022-12-01 11:17:36,2022-12-09 11:17:36,system
207,59,Under Review,2022-12-09 11:17:36,2022-12-21 11:17:36,review_committee
208,59,Pending Payment,2022-12-21 11:17:36,2023-01-19 11:17:36,system
209,59,Approved,2023-01-19 11:17:36,,membership_officer
210,60,Submitted,2024-12-02 08:21:14,2025-01-01 08:21:14,system
211,60,Under Review,2025-01-01 08:21:14,2025-01-13 08:21:14,membership_officer
212,60,Rejected,2025-01-13 08:21:14,,system
213,61,Submitted,2023-10-21 08:42:18,2023-10-26 08:42:18,system
214,61,Under Review,2023-10-26 08:42:18,2023-11-06 08:42:18,review_committee
215,61,Pending Payment,2023-11-06 08:42:18,2023-11-28 08:42:18,system
216,61,Approved,2023-11-28 08:42:18,,system
217,62,Submitted,2023-11-08 17:58:17,2023-11-23 17:58:17,review_committee
218,62,Under Review,2023-11-23 17:58:17,,system
219,63,Submitted,2023-06-12 09:41:56,2023-06-19 09:41:56,system
220,63,Under Review,2023-06-19 09:41:56,,review_committee
221,64,Submitted,2022-01-23 05:52:37,2022-01-30 05:52:37,membership_officer
222,64,Withdrawn,2022-01-30 05:52:37,,review_committee
223,65,Submitted,2022-04-20 13:32:04,2022-05-19 13:32:04,system
224,65,Under Review,2022-05-19 13:32:04,2022-05-23 13:32:04,membership_officer
225,65,Pending Payment,2022-05-23 13:32:04,2022-06-04 13:32:04,system
226,65,Approved,2022-06-04 13:32:04,,system
227,66,Submitted,2025-09-19 04:25:19,2025-10-04 04:25:19,system
228,66,Under Review,2025-10-04 04:25:19,2025-10-10 04:25:19,review_committee
229,66,Pending Payment,2025-10-10 04:25:19,2025-10-26 04:25:19,membership_officer
230,66,Approved,2025-10-26 04:25:19,,review_committee
231,67,Submitted,2021-10-01 10:32:06,2021-10-15 10:32:06,system
232,67,Under Review,2021-10-15 10:32:06,2021-11-12 10:32:06,system
233,67,Pending Payment,2021-11-12 10:32:06,2021-11-14 10:32:06,system
234,67,Approved,2021-11-14 10:32:06,,system
235,68,Submitted,2025-05-23 08:49:56,2025-06-22 08:49:56,membership_officer
236,68,Under Review,2025-06-22 08:49:56,2025-06-28 08:49:56,membership_officer
237,68,Rejected,2025-06-28 08:49:56,,review_committee
238,69,Submitted,2025-08-30 05:45:15,,review_committee
239,70,Submitted,2025-08-27 08:42:52,2025-09-24 08:42:52,review_committee
240,70,Under Review,2025-09-24 08:42:52,2025-10-19 08:42:52,membership_officer
241,70,Rejected,2025-10-19 08:42:52,,system
242,71,Submitted,2023-09-21 14:14:02,2023-10-11 14:14:02,review_committee
243,71,Under Review,2023-10-11 14:14:02,2023-11-01 14:14:02,system
244,71,Pending Payment,2023-11-01 14:14:02,,system
245,72,Submitted,2021-11-12 10:39:16,2021-12-06 10:39:16,review_committee
246,72,Under Review,2021-12-06 10:39:16,2021-12-16 10:39:16,system
247,72,Pending Payment,2021-12-16 10:39:16,2021-12-28 10:39:16,membership_officer
248,72,Approved,2021-12-28 10:39:16,,membership_officer
249,73,Submitted,2024-09-19 15:59:11,2024-09-20 15:59:11,review_committee
250,73,Under Review,2024-09-20 15:59:11,2024-10-06 15:59:11,membership_officer
251,73,Rejected,2024-10-06 15:59:11,,system
252,74,Submitted,2023-07-24 01:24:15,2023-08-11 01:24:15,review_committee
253,74,Under Review,2023-08-11 01:24:15,2023-08-23 01:24:15,system
254,74,Pending Payment,2023-08-23 01:24:15,2023-08-25 01:24:15,system
255,74,Approved,2023-08-25 01:24:15,,system
256,75,Submitted,2024-05-09 03:13:51,2024-05-11 03:13:51,membership_officer
257,75,Under Review,2024-05-11 03:13:51,2024-06-02 03:13:51,membership_officer
258,75,Rejected,2024-06-02 03:13:51,,review_committee
259,76,Submitted,2025-01-23 19:17:09,2025-02-11 19:17:09,membership_officer
260,76,Under Review,2025-02-11 19:17:09,2025-03-01 19:17:09,membership_officer
261,76,Pending Payment,2025-03-01 19:17:09,2025-03-30 19:17:09,review_committee
262,76,Approved,2025-03-30 19:17:09,,system
263,77,Submitted,2024-10-19 21:18:53,2024-10-21 21:18:53,system
264,77,Under Review,2024-10-21 21:18:53,2024-10-25 21:18:53,system
265,77,Rejected,2024-10-25 21:18:53,,system
266,78,Submitted,2024-05-04 01:55:41,2024-05-10 01:55:41,review_committee
267,78,Under Review,2024-05-10 01:55:41,2024-06-03 01:55:41,system
268,78,Rejected,2024-06-03 01:55:41,,system
269,79,Submitted,2025-03-10 20:14:02,2025-03-14 20:14:02,system
270,79,Under Review,2025-03-14 20:14:02,2025-04-12 20:14:02,membership_officer
271,79,Pending Payment,2025-04-12 20:14:02,2025-04-15 20:14:02,system
272,79,Approved,2025-04-15 20:14:02,,system
273,80,Submitted,2024-01-05 00:11:03,2024-01-20 00:11:03,system
274,80,Under Review,2024-01-20 00:11:03,2024-02-14 00:11:03,membership_officer
275,80,Pending Payment,2024-02-14 00:11:03,2024-03-06 00:11:03,review_committee
276,80,Approved,2024-03-06 00:11:03,,review_committee
277,81,Submitted,2026-05-26 15:35:31,2026-05-31 15:35:31,membership_officer
278,81,Under Review,2026-05-31 15:35:31,2026-06-16 15:35:31,review_committee
279,81,Pending Payment,2026-06-16 15:35:31,2026-07-13 15:35:31,review_committee
280,81,Approved,2026-07-13 15:35:31,,review_committee
281,82,Submitted,2023-04-07 21:39:50,2023-04-10 21:39:50,review_committee
282,82,Under Review,2023-04-10 21:39:50,2023-04-23 21:39:50,review_committee
283,82,Pending Payment,2023-04-23 21:39:50,2023-05-04 21:39:50,membership_officer
284,82,Approved,2023-05-04 21:39:50,,membership_officer
285,83,Submitted,2024-02-23 19:40:09,2024-03-16 19:40:09,system
286,83,Under Review,2024-03-16 19:40:09,2024-04-05 19:40:09,membership_officer
287,83,Rejected,2024-04-05 19:40:09,,system
288,84,Submitted,2026-02-20 11:35:49,2026-02-26 11:35:49,review_committee
289,84,Under Review,2026-02-26 11:35:49,2026-03-08 11:35:49,membership_officer
290,84,Pending Payment,2026-03-08 11:35:49,2026-03-22 11:35:49,review_committee
291,84,Approved,2026-03-22 11:35:49,,review_committee
292,85,Submitted,2025-06-16 02:26:34,,system
293,86,Submitted,2022-09-27 06:56:48,2022-10-13 06:56:48,system
294,86,Under Review,2022-10-13 06:56:48,2022-10-21 06:56:48,system
295,86,Pending Payment,2022-10-21 06:56:48,2022-11-06 06:56:48,system
296,86,Approved,2022-11-06 06:56:48,,review_committee
297,87,Submitted,2022-01-11 10:26:35,2022-01-27 10:26:35,review_committee
298,87,Under Review,2022-01-27 10:26:35,2022-02-01 10:26:35,membership_officer
299,87,Pending Payment,2022-02-01 10:26:35,2022-02-22 10:26:35,membership_officer
300,87,Approved,2022-02-22 10:26:35,,membership_officer
301,88,Submitted,2023-08-31 00:25:32,2023-09-17 00:25:32,system
302,88,Under Review,2023-09-17 00:25:32,2023-09-22 00:25:32,review_committee
303,88,Pending Payment,2023-09-22 00:25:32,2023-10-08 00:25:32,system
304,88,Approved,2023-10-08 00:25:32,,membership_officer
305,89,Submitted,2021-09-19 08:09:06,2021-10-19 08:09:06,membership_officer
306,89,Under Review,2021-10-19 08:09:06,2021-11-13 08:09:06,system
307,89,Pending Payment,2021-11-13 08:09:06,2021-11-30 08:09:06,membership_officer
308,89,Approved,2021-11-30 08:09:06,,system
309,90,Submitted,2021-10-18 05:34:37,2021-10-20 05:34:37,membership_officer
310,90,Under Review,2021-10-20 05:34:37,2021-10-31 05:34:37,system
311,90,Rejected,2021-10-31 05:34:37,,membership_officer
312,91,Submitted,2026-03-02 06:00:10,2026-03-14 06:00:10,review_committee
313,91,Under Review,2026-03-14 06:00:10,2026-03-30 06:00:10,membership_officer
314,91,Pending Payment,2026-03-30 06:00:10,2026-04-11 06:00:10,membership_officer
315,91,Approved,2026-04-11 06:00:10,,system
316,92,Submitted,2024-01-07 01:18:58,2024-01-26 01:18:58,system
317,92,Under Review,2024-01-26 01:18:58,2024-02-25 01:18:58,membership_officer
318,92,Pending Payment,2024-02-25 01:18:58,2024-03-25 01:18:58,system
319,92,Approved,2024-03-25 01:18:58,,review_committee
320,93,Submitted,2022-04-01 20:06:13,2022-04-07 20:06:13,membership_officer
321,93,Under Review,2022-04-07 20:06:13,2022-04-10 20:06:13,review_committee
322,93,Rejected,2022-04-10 20:06:13,,review_committee
323,94,Submitted,2025-12-13 04:36:48,2025-12-22 04:36:48,review_committee
324,94,Under Review,2025-12-22 04:36:48,2026-01-09 04:36:48,system
325,94,Pending Payment,2026-01-09 04:36:48,2026-02-02 04:36:48,system
326,94,Approved,2026-02-02 04:36:48,,review_committee
327,95,Submitted,2024-02-23 23:56:47,2024-03-21 23:56:47,system
328,95,Under Review,2024-03-21 23:56:47,,system
329,96,Submitted,2022-12-21 10:49:36,2023-01-10 10:49:36,review_committee
330,96,Under Review,2023-01-10 10:49:36,2023-02-02 10:49:36,system
331,96,Pending Payment,2023-02-02 10:49:36,,review_committee
332,97,Submitted,2025-08-26 18:09:52,2025-09-17 18:09:52,system
333,97,Under Review,2025-09-17 18:09:52,2025-10-13 18:09:52,membership_officer
334,97,Pending Payment,2025-10-13 18:09:52,2025-10-27 18:09:52,review_committee
335,97,Approved,2025-10-27 18:09:52,,review_committee
336,98,Submitted,2023-07-30 15:19:07,,system
337,99,Submitted,2021-10-11 09:57:27,2021-11-05 09:57:27,system
338,99,Under Review,2021-11-05 09:57:27,2021-11-16 09:57:27,membership_officer
339,99,Pending Payment,2021-11-16 09:57:27,2021-12-08 09:57:27,membership_officer
340,99,Approved,2021-12-08 09:57:27,,review_committee
341,100,Submitted,2024-07-26 14:48:55,,membership_officer
342,101,Submitted,2024-10-28 04:45:38,2024-11-16 04:45:38,review_committee
343,101,Under Review,2024-11-16 04:45:38,2024-11-21 04:45:38,system
344,101,Pending Payment,2024-11-21 04:45:38,2024-12-17 04:45:38,membership_officer
345,101,Approved,2024-12-17 04:45:38,,membership_officer
346,102,Submitted,2022-11-05 01:47:12,2022-11-13 01:47:12,system
347,102,Under Review,2022-11-13 01:47:12,2022-11-28 01:47:12,system
348,102,Pending Payment,2022-11-28 01:47:12,2022-12-18 01:47:12,review_committee
349,102,Approved,2022-12-18 01:47:12,,membership_officer
350,103,Submitted,2022-03-01 02:39:42,2022-03-30 02:39:42,review_committee
351,103,Under Review,2022-03-30 02:39:42,2022-04-29 02:39:42,system
352,103,Pending Payment,2022-04-29 02:39:42,2022-05-24 02:39:42,review_committee
353,103,Approved,2022-05-24 02:39:42,,review_committee
354,104,Submitted,2022-05-03 04:24:52,2022-05-18 04:24:52,review_committee
355,104,Under Review,2022-05-18 04:24:52,2022-05-22 04:24:52,membership_officer
356,104,Pending Payment,2022-05-22 04:24:52,2022-06-11 04:24:52,system
357,104,Approved,2022-06-11 04:24:52,,system
358,105,Submitted,2026-02-20 23:55:05,2026-03-14 23:55:05,membership_officer
359,105,Under Review,2026-03-14 23:55:05,2026-04-08 23:55:05,membership_officer
360,105,Pending Payment,2026-04-08 23:55:05,,review_committee
361,106,Submitted,2023-01-17 02:59:51,2023-02-13 02:59:51,review_committee
362,106,Under Review,2023-02-13 02:59:51,2023-02-20 02:59:51,system
363,106,Pending Payment,2023-02-20 02:59:51,2023-02-21 02:59:51,review_committee
364,106,Approved,2023-02-21 02:59:51,,membership_officer
365,107,Submitted,2024-01-30 13:39:15,2024-01-31 13:39:15,review_committee
366,107,Under Review,2024-01-31 13:39:15,2024-02-16 13:39:15,review_committee
367,107,Pending Payment,2024-02-16 13:39:15,2024-03-02 13:39:15,membership_officer
368,107,Approved,2024-03-02 13:39:15,,membership_officer
369,108,Submitted,2022-08-03 10:48:43,2022-08-18 10:48:43,review_committee
370,108,Under Review,2022-08-18 10:48:43,2022-08-23 10:48:43,review_committee
371,108,Pending Payment,2022-08-23 10:48:43,2022-09-16 10:48:43,system
372,108,Approved,2022-09-16 10:48:43,,membership_officer
373,109,Submitted,2024-04-08 00:32:45,2024-05-07 00:32:45,membership_officer
374,109,Under Review,2024-05-07 00:32:45,2024-05-21 00:32:45,review_committee
375,109,Pending Payment,2024-05-21 00:32:45,2024-06-09 00:32:45,membership_officer
376,109,Approved,2024-06-09 00:32:45,,review_committee
377,110,Submitted,2024-10-29 19:25:51,2024-11-15 19:25:51,membership_officer
378,110,Under Review,2024-11-15 19:25:51,2024-11-23 19:25:51,membership_officer
379,110,Pending Payment,2024-11-23 19:25:51,2024-11-24 19:25:51,system
380,110,Approved,2024-11-24 19:25:51,,membership_officer
381,111,Submitted,2023-06-05 20:01:36,2023-06-22 20:01:36,system
382,111,Under Review,2023-06-22 20:01:36,2023-07-18 20:01:36,system
383,111,Pending Payment,2023-07-18 20:01:36,2023-08-14 20:01:36,system
384,111,Approved,2023-08-14 20:01:36,,review_committee
385,112,Submitted,2022-12-01 13:44:06,2022-12-09 13:44:06,membership_officer
386,112,Under Review,2022-12-09 13:44:06,2022-12-22 13:44:06,membership_officer
