event_attendance_id,event_id,member_id,attendance_status,registered_at,attended_at
175,1,1479,Attended,2024-12-11 14:41:02,2025-01-21 14:41:02
176,1,1934,No Show,2024-12-19 14:41:02,
177,1,2250,Registered,2024-12-15 14:41:02,
178,1,2163,Attended,2025-01-01 14:41:02,2025-01-21 14:41:02
179,1,1405,Attended,2024-12-15 14:41:02,2025-01-21 14:41:02
180,1,834,Attended,2024-12-21 14:41:02,2025-01-21 14:41:02
181,1,2921,Attended,2025-01-16 14:41:02,2025-01-21 14:41:02
182,1,2398,Attended,2024-12-25 14:41:02,2025-01-21 14:41:02
183,1,2984,Cancelled,2024-12-24 14:41:02,
184,1,2233,Attended,2025-01-04 14:41:02,2025-01-21 14:41:02
185,1,2192,Attended,2024-12-16 14:41:02,2025-01-21 14:41:02
186,1,2273,Attended,2024-12-30 14:41:02,2025-01-21 14:41:02
187,1,582,Registered,2025-01-06 14:41:02,
188,1,546,Registered,2025-01-12 14:41:02,
189,1,233,Attended,2024-12-27 14:41:02,2025-01-21 14:41:02
190,1,1613,Cancelled,2025-01-09 14:41:02,
191,1,1036,Attended,2024-12-30 14:41:02,2025-01-21 14:41:02
192,1,3154,Attended,2025-01-18 14:41:02,2025-01-21 14:41:02
193,1,1039,Attended,2025-01-18 14:41:02,2025-01-21 14:41:02
194,1,489,Registered,2024-12-24 14:41:02,
195,1,1850,No Show,2025-01-14 14:41:02,
196,1,409,Attended,2024-12-19 14:41:02,2025-01-21 14:41:02
197,2,2242,Cancelled,2025-08-04 17:05:41,
198,2,1865,No Show,2025-07-11 17:05:41,
199,2,1426,Registered,2025-07-30 17:05:41,
200,2,1461,Attended,2025-07-13 17:05:41,2025-08-14 17:05:41
201,2,344,Attended,2025-07-24 17:05:41,2025-08-14 17:05:41
202,2,1464,Attended,2025-08-09 17:05:41,2025-08-14 17:05:41
203,2,384,Attended,2025-07-27 17:05:41,2025-08-14 17:05:41
204,2,1783,Registered,2025-07-03 17:05:41,
205,2,623,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
206,2,2609,No Show,2025-07-11 17:05:41,
207,2,2821,Attended,2025-07-19 17:05:41,2025-08-14 17:05:41
208,2,2162,Registered,2025-08-07 17:05:41,
209,2,678,Attended,2025-08-11 17:05:41,2025-08-14 17:05:41
210,2,1361,Attended,2025-08-04 17:05:41,2025-08-14 17:05:41
211,2,1340,Attended,2025-06-30 17:05:41,2025-08-14 17:05:41
212,2,3080,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
213,2,200,Attended,2025-07-31 17:05:41,2025-08-14 17:05:41
214,2,209,Attended,2025-07-27 17:05:41,2025-08-14 17:05:41
215,2,3008,Registered,2025-07-31 17:05:41,
216,2,816,Cancelled,2025-07-23 17:05:41,
217,2,685,Attended,2025-08-07 17:05:41,2025-08-14 17:05:41
218,2,3082,Attended,2025-08-09 17:05:41,2025-08-14 17:05:41
219,2,2628,Attended,2025-07-31 17:05:41,2025-08-14 17:05:41
220,2,1414,Cancelled,2025-07-10 17:05:41,
221,2,1158,Registered,2025-07-24 17:05:41,
222,2,1759,Attended,2025-06-30 17:05:41,2025-08-14 17:05:41
223,2,944,Registered,2025-07-10 17:05:41,
224,2,686,Registered,2025-08-09 17:05:41,
225,2,387,Attended,2025-08-09 17:05:41,2025-08-14 17:05:41
226,2,201,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
227,2,2385,Attended,2025-08-13 17:05:41,2025-08-14 17:05:41
228,2,139,Attended,2025-07-17 17:05:41,2025-08-14 17:05:41
229,2,2739,Registered,2025-07-29 17:05:41,
230,2,310,Attended,2025-08-13 17:05:41,2025-08-14 17:05:41
231,2,2322,No Show,2025-07-20 17:05:41,
232,2,71,Attended,2025-08-04 17:05:41,2025-08-14 17:05:41
233,2,2418,Registered,2025-08-01 17:05:41,
234,2,1346,Attended,2025-07-13 17:05:41,2025-08-14 17:05:41
235,2,780,Registered,2025-06-30 17:05:41,
236,2,170,No Show,2025-07-29 17:05:41,
237,2,509,Attended,2025-08-07 17:05:41,2025-08-14 17:05:41
238,2,3162,No Show,2025-07-16 17:05:41,
239,2,2949,Attended,2025-08-03 17:05:41,2025-08-14 17:05:41
240,2,1739,Attended,2025-07-06 17:05:41,2025-08-14 17:05:41
241,2,3164,Attended,2025-07-29 17:05:41,2025-08-14 17:05:41
242,2,1573,No Show,2025-07-16 17:05:41,
243,2,1752,Attended,2025-08-04 17:05:41,2025-08-14 17:05:41
244,2,1480,Attended,2025-07-01 17:05:41,2025-08-14 17:05:41
245,2,2913,Attended,2025-07-17 17:05:41,2025-08-14 17:05:41
246,2,1858,Registered,2025-08-03 17:05:41,
247,2,886,Attended,2025-07-18 17:05:41,2025-08-14 17:05:41
248,2,417,Attended,2025-07-20 17:05:41,2025-08-14 17:05:41
249,2,3173,Registered,2025-07-30 17:05:41,
250,2,358,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
251,2,2576,Attended,2025-08-08 17:05:41,2025-08-14 17:05:41
252,2,978,Attended,2025-08-11 17:05:41,2025-08-14 17:05:41
253,2,1703,No Show,2025-07-22 17:05:41,
254,2,2802,Registered,2025-08-13 17:05:41,
255,2,877,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
256,2,899,Attended,2025-08-03 17:05:41,2025-08-14 17:05:41
257,2,364,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
258,2,3025,Attended,2025-07-04 17:05:41,2025-08-14 17:05:41
259,2,933,Registered,2025-07-28 17:05:41,
260,2,805,Attended,2025-08-13 17:05:41,2025-08-14 17:05:41
261,2,793,Registered,2025-07-01 17:05:41,
262,2,2409,Attended,2025-08-03 17:05:41,2025-08-14 17:05:41
263,2,3176,Attended,2025-07-26 17:05:41,2025-08-14 17:05:41
264,2,3175,Cancelled,2025-07-30 17:05:41,
265,2,1635,Cancelled,2025-07-02 17:05:41,
266,2,817,Cancelled,2025-07-28 17:05:41,
267,2,1272,Registered,2025-07-29 17:05:41,
268,2,2402,Cancelled,2025-07-13 17:05:41,
269,2,30,Attended,2025-07-10 17:05:41,2025-08-14 17:05:41
270,2,2019,Registered,2025-07-06 17:05:41,
271,2,1221,Attended,2025-07-29 17:05:41,2025-08-14 17:05:41
272,2,913,Attended,2025-08-12 17:05:41,2025-08-14 17:05:41
273,2,2863,Cancelled,2025-07-18 17:05:41,
274,2,222,Attended,2025-07-21 17:05:41,2025-08-14 17:05:41
275,2,559,Attended,2025-07-29 17:05:41,2025-08-14 17:05:41
276,2,1170,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
277,2,641,No Show,2025-07-27 17:05:41,
278,2,1907,Attended,2025-07-22 17:05:41,2025-08-14 17:05:41
279,2,2836,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
280,2,2473,Attended,2025-08-09 17:05:41,2025-08-14 17:05:41
281,2,2054,Registered,2025-07-07 17:05:41,
282,2,389,Attended,2025-07-13 17:05:41,2025-08-14 17:05:41
283,2,1297,Attended,2025-08-03 17:05:41,2025-08-14 17:05:41
284,2,3123,Attended,2025-07-19 17:05:41,2025-08-14 17:05:41
285,2,1860,Registered,2025-07-14 17:05:41,
286,2,1435,Attended,2025-07-14 17:05:41,2025-08-14 17:05:41
287,2,2066,Attended,2025-07-17 17:05:41,2025-08-14 17:05:41
288,2,2732,Registered,2025-07-19 17:05:41,
289,2,1497,Attended,2025-07-25 17:05:41,2025-08-14 17:05:41
290,2,1044,Attended,2025-07-29 17:05:41,2025-08-14 17:05:41
291,2,2437,Attended,2025-07-10 17:05:41,2025-08-14 17:05:41
292,2,2481,No Show,2025-07-13 17:05:41,
293,2,2186,No Show,2025-08-06 17:05:41,
294,2,2855,Cancelled,2025-08-02 17:05:41,
295,2,1436,Attended,2025-08-12 17:05:41,2025-08-14 17:05:41
296,2,675,No Show,2025-07-18 17:05:41,
297,2,1905,Attended,2025-07-17 17:05:41,2025-08-14 17:05:41
298,2,615,Attended,2025-07-06 17:05:41,2025-08-14 17:05:41
299,2,1488,Attended,2025-07-27 17:05:41,2025-08-14 17:05:41
300,2,828,Attended,2025-07-01 17:05:41,2025-08-14 17:05:41
301,2,836,Attended,2025-08-01 17:05:41,2025-08-14 17:05:41
302,2,2450,Attended,2025-08-09 17:05:41,2025-08-14 17:05:41
303,2,449,No Show,2025-07-07 17:05:41,
304,2,1264,Attended,2025-07-29 17:05:41,2025-08-14 17:05:41
305,2,304,Attended,2025-07-15 17:05:41,2025-08-14 17:05:41
306,2,2076,Attended,2025-07-12 17:05:41,2025-08-14 17:05:41
307,2,1707,Attended,2025-07-26 17:05:41,2025-08-14 17:05:41
308,2,2990,Attended,2025-07-02 17:05:41,2025-08-14 17:05:41
309,2,2997,Cancelled,2025-08-10 17:05:41,
310,2,3009,Registered,2025-07-16 17:05:41,
311,2,2180,Registered,2025-07-10 17:05:41,
312,2,1510,Attended,2025-07-13 17:05:41,2025-08-14 17:05:41
313,2,241,No Show,2025-07-19 17:05:41,
314,2,3186,Attended,2025-08-06 17:05:41,2025-08-14 17:05:41
315,2,1791,Registered,2025-07-20 17:05:41,
316,2,2144,Cancelled,2025-07-09 17:05:41,
317,2,644,Attended,2025-08-04 17:05:41,2025-08-14 17:05:41
318,2,848,Attended,2025-07-21 17:05:41,2025-08-14 17:05:41
319,2,2556,Attended,2025-08-08 17:05:41,2025-08-14 17:05:41
320,2,7,Attended,2025-07-18 17:05:41,2025-08-14 17:05:41
321,2,1492,No Show,2025-08-03 17:05:41,
322,2,2429,Attended,2025-07-30 17:05:41,2025-08-14 17:05:41
323,2,552,No Show,2025-08-06 17:05:41,
324,3,3171,Attended,2025-08-10 07:19:10,2025-08-31 07:19:10
325,3,1027,No Show,2025-08-15 07:19:10,
326,3,2279,Registered,2025-08-12 07:19:10,
327,3,994,Attended,2025-08-04 07:19:10,2025-08-31 07:19:10
328,3,2778,Attended,2025-07-26 07:19:10,2025-08-31 07:19:10
329,3,1992,Attended,2025-08-24 07:19:10,2025-08-31 07:19:10
330,3,1163,Attended,2025-07-29 07:19:10,2025-08-31 07:19:10
331,3,1583,Attended,2025-08-30 07:19:10,2025-08-31 07:19:10
332,3,3098,Attended,2025-08-14 07:19:10,2025-08-31 07:19:10
333,3,2571,Attended,2025-08-12 07:19:10,2025-08-31 07:19:10
334,3,1359,No Show,2025-08-08 07:19:10,
335,3,1213,Registered,2025-08-04 07:19:10,
336,3,1581,Attended,2025-08-04 07:19:10,2025-08-31 07:19:10
337,3,3034,Attended,2025-08-24 07:19:10,2025-08-31 07:19:10
338,3,531,Attended,2025-08-29 07:19:10,2025-08-31 07:19:10
339,3,1857,Registered,2025-07-24 07:19:10,
340,3,1887,Attended,2025-08-29 07:19:10,2025-08-31 07:19:10
341,3,2900,Attended,2025-08-30 07:19:10,2025-08-31 07:19:10
342,3,3143,Attended,2025-08-16 07:19:10,2025-08-31 07:19:10
343,3,370,Attended,2025-08-29 07:19:10,2025-08-31 07:19:10
344,3,1227,Attended,2025-07-22 07:19:10,2025-08-31 07:19:10
345,3,748,Attended,2025-08-22 07:19:10,2025-08-31 07:19:10
346,3,1301,No Show,2025-08-19 07:19:10,
347,3,1846,Registered,2025-08-29 07:19:10,
348,3,901,Registered,2025-08-19 07:19:10,
349,3,240,Attended,2025-08-27 07:19:10,2025-08-31 07:19:10
350,3,1345,No Show,2025-08-17 07:19:10,
351,3,2868,Registered,2025-08-23 07:19:10,
352,3,3003,Attended,2025-08-15 07:19:10,2025-08-31 07:19:10
353,3,2051,Attended,2025-08-18 07:19:10,2025-08-31 07:19:10
354,3,1424,Attended,2025-08-25 07:19:10,2025-08-31 07:19:10
355,3,2240,Registered,2025-07-17 07:19:10,
356,3,2590,Attended,2025-08-14 07:19:10,2025-08-31 07:19:10
357,3,286,Attended,2025-08-03 07:19:10,2025-08-31 07:19:10
358,3,1127,No Show,2025-07-30 07:19:10,
359,3,1091,Attended,2025-08-28 07:19:10,2025-08-31 07:19:10
360,3,537,Attended,2025-08-30 07:19:10,2025-08-31 07:19:10
361,3,1545,No Show,2025-08-02 07:19:10,
362,3,2861,Attended,2025-08-08 07:19:10,2025-08-31 07:19:10
363,3,2125,Attended,2025-08-21 07:19:10,2025-08-31 07:19:10
364,3,2685,No Show,2025-08-06 07:19:10,
365,3,30,Attended,2025-07-27 07:19:10,2025-08-31 07:19:10
366,3,858,No Show,2025-08-24 07:19:10,
367,3,1190,Attended,2025-08-12 07:19:10,2025-08-31 07:19:10
368,3,2972,Registered,2025-08-07 07:19:10,
369,3,1593,Attended,2025-08-01 07:19:10,2025-08-31 07:19:10
370,3,701,No Show,2025-07-21 07:19:10,
371,3,826,Attended,2025-08-24 07:19:10,2025-08-31 07:19:10
372,3,884,Attended,2025-08-16 07:19:10,2025-08-31 07:19:10
373,3,2020,No Show,2025-08-21 07:19:10,
374,3,352,Attended,2025-08-28 07:19:10,2025-08-31 07:19:10
375,3,2758,Cancelled,2025-07-28 07:19:10,
376,3,2518,Attended,2025-08-26 07:19:10,2025-08-31 07:19:10
377,3,64,No Show,2025-08-17 07:19:10,
378,3,1309,Attended,2025-07-26 07:19:10,2025-08-31 07:19:10
379,3,1673,No Show,2025-08-03 07:19:10,
380,3,2014,Registered,2025-08-21 07:19:10,
381,3,165,Registered,2025-08-21 07:19:10,
382,3,1377,Attended,2025-07-24 07:19:10,2025-08-31 07:19:10
383,3,2504,Attended,2025-08-14 07:19:10,2025-08-31 07:19:10
384,3,2476,Attended,2025-08-23 07:19:10,2025-08-31 07:19:10
385,3,1732,No Show,2025-07-27 07:19:10,
386,3,1015,Attended,2025-08-21 07:19:10,2025-08-31 07:19:10
387,3,3194,Attended,2025-07-22 07:19:10,2025-08-31 07:19:10
388,3,251,No Show,2025-08-15 07:19:10,
389,3,93,Attended,2025-08-14 07:19:10,2025-08-31 07:19:10
390,3,1529,Attended,2025-07-27 07:19:10,2025-08-31 07:19:10
391,3,1052,Attended,2025-08-07 07:19:10,2025-08-31 07:19:10
392,3,1435,Attended,2025-08-06 07:19:10,2025-08-31 07:19:10
393,3,1533,Attended,2025-07-24 07:19:10,2025-08-31 07:19:10
394,3,2343,Attended,2025-07-19 07:19:10,2025-08-31 07:19:10
395,3,1778,Registered,2025-08-05 07:19:10,
396,3,1881,Attended,2025-08-04 07:19:10,2025-08-31 07:19:10
397,3,2433,Registered,2025-08-19 07:19:10,
398,3,604,Attended,2025-07-21 07:19:10,2025-08-31 07:19:10
399,3,1431,Attended,2025-08-18 07:19:10,2025-08-31 07:19:10
400,3,1295,Registered,2025-07-19 07:19:10,
401,3,799,Attended,2025-08-28 07:19:10,2025-08-31 07:19:10
402,3,816,Attended,2025-08-26 07:19:10,2025-08-31 07:19:10
403,3,2466,Attended,2025-08-26 07:19:10,2025-08-31 07:19:10
404,3,2637,Cancelled,2025-08-22 07:19:10,
405,3,2662,Attended,2025-08-17 07:19:10,2025-08-31 07:19:10
406,3,1205,Registered,2025-08-30 07:19:10,
407,3,1960,Registered,2025-07-30 07:19:10,
408,3,2531,Attended,2025-07-23 07:19:10,2025-08-31 07:19:10
409,3,1079,No Show,2025-08-29 07:19:10,
410,3,2763,Attended,2025-08-24 07:19:10,2025-08-31 07:19:10
411,3,1586,No Show,2025-07-17 07:19:10,
412,3,1489,Attended,2025-08-03 07:19:10,2025-08-31 07:19:10
413,3,1032,No Show,2025-07-25 07:19:10,
414,3,1023,Attended,2025-08-02 07:19:10,2025-08-31 07:19:10
415,3,3150,Attended,2025-08-23 07:19:10,2025-08-31 07:19:10
416,3,1187,Attended,2025-08-01 07:19:10,2025-08-31 07:19:10
417,3,2809,Attended,2025-08-26 07:19:10,2025-08-31 07:19:10
418,3,902,Attended,2025-08-01 07:19:10,2025-08-31 07:19:10
419,3,2790,No Show,2025-07-17 07:19:10,
420,3,1833,Attended,2025-08-21 07:19:10,2025-08-31 07:19:10
421,3,1666,Registered,2025-08-05 07:19:10,
422,3,3140,Registered,2025-07-18 07:19:10,
423,3,894,Attended,2025-07-21 07:19:10,2025-08-31 07:19:10
424,3,2725,Attended,2025-08-20 07:19:10,2025-08-31 07:19:10
425,3,1841,Attended,2025-08-18 07:19:10,2025-08-31 07:19:10
426,3,1442,Attended,2025-07-23 07:19:10,2025-08-31 07:19:10
427,3,340,Attended,2025-08-19 07:19:10,2025-08-31 07:19:10
428,3,2,Attended,2025-08-04 07:19:10,2025-08-31 07:19:10
429,3,1609,Attended,2025-08-03 07:19:10,2025-08-31 07:19:10
430,3,3077,Attended,2025-08-02 07:19:10,2025-08-31 07:19:10
