member_status_history_id,member_id,status,status_start_at,status_end_at,changed_by,change_reason
50,11,Pending Renewal,2023-02-01 00:00:00,2023-06-18,membership_officer,Renewal payment received
51,11,Active,2023-06-18 00:00:00,2024-02-01,system,Membership active before annual renewal
52,11,Pending Renewal,2024-02-01 00:00:00,2024-05-25,membership_officer,Renewal payment received
53,11,Active,2024-05-25 00:00:00,2025-02-01,system,Membership active before annual renewal
54,11,Pending Renewal,2025-02-01 00:00:00,2025-03-06,finance_officer,Renewal payment received
55,11,Active,2025-03-06 00:00:00,2026-02-01,system,Membership active before annual renewal
56,11,Pending Renewal,2026-02-01 00:00:00,2026-04-03,system,Renewal payment received
57,11,Active,2026-04-03 00:00:00,,system,Current member status
58,12,Active,2022-02-04 05:59:02,2023-02-01,system,Membership active before annual renewal
59,12,Pending Renewal,2023-02-01 00:00:00,2023-02-09,system,Renewal payment received
60,12,Active,2023-02-09 00:00:00,2024-02-01,system,Membership active before annual renewal
61,12,Pending Renewal,2024-02-01 00:00:00,2024-02-07,finance_officer,Renewal payment received
62,12,Active,2024-02-07 00:00:00,2025-02-01,system,Membership active before annual renewal
63,12,Pending Renewal,2025-02-01 00:00:00,2025-06-23,finance_officer,Renewal payment received
64,12,Active,2025-06-23 00:00:00,2026-02-01,system,Membership active before annual renewal
65,12,Pending Renewal,2026-02-01 00:00:00,2026-02-18,membership_officer,Renewal payment received
66,12,Active,2026-02-18 00:00:00,,system,Current member status
67,13,Active,2022-04-10 23:16:01,2023-02-01,system,Membership active before annual renewal
68,13,Pending Renewal,2023-02-01 00:00:00,2023-04-02,finance_officer,Renewal payment received
69,13,Active,2023-04-02 00:00:00,2024-02-01,system,Membership active before annual renewal
70,13,Pending Renewal,2024-02-01 00:00:00,2024-08-01,system,Renewal overdue for more than 6 months
71,13,Inactive,2024-08-01 00:00:00,2025-08-01,system,Inactive for more than 1 year
72,13,Cancelled,2025-08-01 00:00:00,,system,Current member status
73,14,Active,2024-04-07 12:07:06,2025-02-01,system,Membership active before annual renewal
74,14,Pending Renewal,2025-02-01 00:00:00,2025-08-01,system,Renewal overdue for more than 6 months
75,14,Inactive,2025-08-01 00:00:00,,system,Current member status
76,15,Active,2025-04-02 21:33:50,2026-02-01,system,Membership active before annual renewal
77,15,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
78,16,Active,2025-05-06 14:56:10,2026-02-01,system,Membership active before annual renewal
79,16,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
80,17,Active,2022-05-02 16:49:04,2023-02-01,system,Membership active before annual renewal
81,17,Pending Renewal,2023-02-01 00:00:00,2023-06-08,membership_officer,Renewal payment received
82,17,Active,2023-06-08 00:00:00,2024-02-01,system,Membership active before annual renewal
83,17,Pending Renewal,2024-02-01 00:00:00,2024-02-14,finance_officer,Renewal payment received
84,17,Active,2024-02-14 00:00:00,2025-02-01,system,Membership active before annual renewal
85,17,Pending Renewal,2025-02-01 00:00:00,2025-08-01,system,Renewal overdue for more than 6 months
86,17,Inactive,2025-08-01 00:00:00,,system,Current member status
87,18,Active,2025-09-26 11:05:38,2026-02-01,system,Membership active before annual renewal
88,18,Pending Renewal,2026-02-01 00:00:00,2026-05-08,system,Renewal payment received
89,18,Active,2026-05-08 00:00:00,,system,Current member status
90,19,Active,2024-01-23 02:01:39,2025-02-01,system,Membership active before annual renewal
91,19,Pending Renewal,2025-02-01 00:00:00,2025-05-11,finance_officer,Renewal payment received
92,19,Active,2025-05-11 00:00:00,2026-02-01,system,Membership active before annual renewal
93,19,Pending Renewal,2026-02-01 00:00:00,2026-03-15,finance_officer,Renewal payment received
94,19,Active,2026-03-15 00:00:00,,system,Current member status
95,20,Active,2025-08-06 16:18:30,2026-02-01,system,Membership active before annual renewal
96,20,Pending Renewal,2026-02-01 00:00:00,2026-02-14,system,Renewal payment received
97,20,Active,2026-02-14 00:00:00,,system,Current member status
98,21,Active,2024-08-10 06:29:38,2025-02-01,system,Membership active before annual renewal
99,21,Pending Renewal,2025-02-01 00:00:00,2025-06-18,system,Renewal payment received
100,21,Active,2025-06-18 00:00:00,2026-02-01,system,Membership active before annual renewal
101,21,Pending Renewal,2026-02-01 00:00:00,2026-03-11,membership_officer,Renewal payment received
102,21,Active,2026-03-11 00:00:00,,system,Current member status
103,22,Active,2023-03-13 14:18:08,2024-02-01,system,Membership active before annual renewal
104,22,Pending Renewal,2024-02-01 00:00:00,2024-05-21,system,Renewal payment received
105,22,Active,2024-05-21 00:00:00,2025-02-01,system,Membership active before annual renewal
106,22,Pending Renewal,2025-02-01 00:00:00,2025-08-01,system,Renewal overdue for more than 6 months
107,22,Inactive,2025-08-01 00:00:00,,system,Current member status
108,23,Active,2024-03-06 15:57:26,2025-02-01,system,Membership active before annual renewal
109,23,Pending Renewal,2025-02-01 00:00:00,2025-03-26,system,Renewal payment received
110,23,Active,2025-03-26 00:00:00,2026-02-01,system,Membership active before annual renewal
111,23,Pending Renewal,2026-02-01 00:00:00,2026-04-26,system,Renewal payment received
112,23,Active,2026-04-26 00:00:00,,system,Current member status
113,24,Active,2026-05-20 22:43:49,,system,Current member status
114,25,Active,2022-09-02 23:45:26,2023-02-01,system,Membership active before annual renewal
115,25,Pending Renewal,2023-02-01 00:00:00,2023-08-01,system,Renewal overdue for more than 6 months
116,25,Inactive,2023-08-01 00:00:00,2024-08-01,system,Inactive for more than 1 year
117,25,Cancelled,2024-08-01 00:00:00,,system,Current member status
118,26,Active,2022-08-25 17:36:13,2023-02-01,system,Membership active before annual renewal
119,26,Pending Renewal,2023-02-01 00:00:00,2023-04-16,finance_officer,Renewal payment received
120,26,Active,2023-04-16 00:00:00,2024-02-01,system,Membership active before annual renewal
121,26,Pending Renewal,2024-02-01 00:00:00,2024-07-06,membership_officer,Renewal payment received
122,26,Active,2024-07-06 00:00:00,2025-02-01,system,Membership active before annual renewal
123,26,Pending Renewal,2025-02-01 00:00:00,2025-04-24,finance_officer,Renewal payment received
124,26,Active,2025-04-24 00:00:00,2026-02-01,system,Membership active before annual renewal
125,26,Pending Renewal,2026-02-01 00:00:00,2026-03-05,membership_officer,Renewal payment received
126,26,Active,2026-03-05 00:00:00,,system,Current member status
127,27,Active,2023-04-25 05:15:29,2024-02-01,system,Membership active before annual renewal
128,27,Pending Renewal,2024-02-01 00:00:00,2024-07-23,finance_officer,Renewal payment received
129,27,Active,2024-07-23 00:00:00,2025-02-01,system,Membership active before annual renewal
130,27,Pending Renewal,2025-02-01 00:00:00,2025-04-03,system,Renewal payment received
131,27,Active,2025-04-03 00:00:00,2026-02-01,system,Membership active before annual renewal
132,27,Pending Renewal,2026-02-01 00:00:00,2026-05-26,membership_officer,Renewal payment received
133,27,Active,2026-05-26 00:00:00,,system,Current member status
134,28,Active,2025-09-17 19:02:26,2026-02-01,system,Membership active before annual renewal
135,28,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
136,29,Active,2024-02-11 10:43:12,2025-02-01,system,Membership active before annual renewal
137,29,Pending Renewal,2025-02-01 00:00:00,2025-07-08,membership_officer,Renewal payment received
138,29,Active,2025-07-08 00:00:00,2026-02-01,system,Membership active before annual renewal
139,29,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
140,30,Active,2023-03-23 17:16:51,2024-02-01,system,Membership active before annual renewal
141,30,Pending Renewal,2024-02-01 00:00:00,2024-08-01,system,Renewal overdue for more than 6 months
142,30,Inactive,2024-08-01 00:00:00,2025-08-01,system,Inactive for more than 1 year
143,30,Cancelled,2025-08-01 00:00:00,,system,Current member status
144,31,Active,2026-05-30 22:12:31,,system,Current member status
145,32,Active,2024-01-08 23:08:39,2025-02-01,system,Membership active before annual renewal
146,32,Pending Renewal,2025-02-01 00:00:00,2025-05-05,membership_officer,Renewal payment received
147,32,Active,2025-05-05 00:00:00,2026-02-01,system,Membership active before annual renewal
148,32,Pending Renewal,2026-02-01 00:00:00,2026-03-17,membership_officer,Renewal payment received
149,32,Active,2026-03-17 00:00:00,,system,Current member status
150,33,Active,2025-08-09 03:43:56,2026-02-01,system,Membership active before annual renewal
151,33,Pending Renewal,2026-02-01 00:00:00,2026-02-09,finance_officer,Renewal payment received
152,33,Active,2026-02-09 00:00:00,,system,Current member status
153,34,Active,2025-03-22 20:57:31,2026-02-01,system,Membership active before annual renewal
154,34,Pending Renewal,2026-02-01 00:00:00,2026-05-07,finance_officer,Renewal payment received
155,34,Active,2026-05-07 00:00:00,,system,Current member status
156,35,Active,2025-08-16 18:31:37,2026-02-01,system,Membership active before annual renewal
157,35,Pending Renewal,2026-02-01 00:00:00,2026-02-23,finance_officer,Renewal payment received
158,35,Active,2026-02-23 00:00:00,,system,Current member status
159,36,Active,2024-01-13 09:58:50,2025-02-01,system,Membership active before annual renewal
160,36,Pending Renewal,2025-02-01 00:00:00,2025-02-12,finance_officer,Renewal payment received
161,36,Active,2025-02-12 00:00:00,2026-02-01,system,Membership active before annual renewal
162,36,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
163,37,Active,2025-04-22 21:30:48,2026-02-01,system,Membership active before annual renewal
164,37,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
165,38,Active,2025-10-20 18:20:18,2026-02-01,system,Membership active before annual renewal
166,38,Pending Renewal,2026-02-01 00:00:00,2026-03-30,membership_officer,Renewal payment received
167,38,Active,2026-03-30 00:00:00,,system,Current member status
168,39,Active,2022-04-28 08:52:44,2023-02-01,system,Membership active before annual renewal
169,39,Pending Renewal,2023-02-01 00:00:00,2023-05-25,membership_officer,Renewal payment received
170,39,Active,2023-05-25 00:00:00,2024-02-01,system,Membership active before annual renewal
171,39,Pending Renewal,2024-02-01 00:00:00,2024-07-08,membership_officer,Renewal payment received
172,39,Active,2024-07-08 00:00:00,2025-02-01,system,Membership active before annual renewal
173,39,Pending Renewal,2025-02-01 00:00:00,2025-06-19,membership_officer,Renewal payment received
174,39,Active,2025-06-19 00:00:00,2026-02-01,system,Membership active before annual renewal
175,39,Pending Renewal,2026-02-01 00:00:00,2026-03-25,system,Renewal payment received
176,39,Active,2026-03-25 00:00:00,,system,Current member status
177,40,Active,2023-01-19 11:17:36,2024-02-01,system,Membership active before annual renewal
178,40,Pending Renewal,2024-02-01 00:00:00,2024-07-10,system,Renewal payment received
179,40,Active,2024-07-10 00:00:00,2025-02-01,system,Membership active before annual renewal
180,40,Pending Renewal,2025-02-01 00:00:00,2025-03-17,membership_officer,Renewal payment received
181,40,Active,2025-03-17 00:00:00,2026-02-01,system,Membership active before annual renewal
182,40,Pending Renewal,2026-02-01 00:00:00,2026-03-17,finance_officer,Renewal payment received
183,40,Active,2026-03-17 00:00:00,,system,Current member status
184,41,Active,2023-11-28 08:42:18,2024-02-01,system,Membership active before annual renewal
185,41,Pending Renewal,2024-02-01 00:00:00,2024-04-28,membership_officer,Renewal payment received
186,41,Active,2024-04-28 00:00:00,2025-02-01,system,Membership active before annual renewal
187,41,Pending Renewal,2025-02-01 00:00:00,2025-03-26,membership_officer,Renewal payment received
188,41,Active,2025-03-26 00:00:00,2026-02-01,system,Membership active before annual renewal
189,41,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
190,42,Active,2022-06-04 13:32:04,2023-02-01,system,Membership active before annual renewal
191,42,Pending Renewal,2023-02-01 00:00:00,2023-03-30,finance_officer,Renewal payment received
192,42,Active,2023-03-30 00:00:00,2024-02-01,system,Membership active before annual renewal
193,42,Pending Renewal,2024-02-01 00:00:00,2024-05-28,membership_officer,Renewal payment received
194,42,Active,2024-05-28 00:00:00,2025-02-01,system,Membership active before annual renewal
195,42,Pending Renewal,2025-02-01 00:00:00,2025-06-01,membership_officer,Renewal payment received
196,42,Active,2025-06-01 00:00:00,2026-02-01,system,Membership active before annual renewal
197,42,Pending Renewal,2026-02-01 00:00:00,2026-02-28,system,Renewal payment received
198,42,Active,2026-02-28 00:00:00,,system,Current member status
199,43,Active,2025-10-26 04:25:19,2026-02-01,system,Membership active before annual renewal
200,43,Pending Renewal,2026-02-01 00:00:00,2026-03-06,system,Renewal payment received
201,43,Active,2026-03-06 00:00:00,,system,Current member status
202,44,Active,2021-11-14 10:32:06,2022-02-01,system,Membership active before annual renewal
203,44,Pending Renewal,2022-02-01 00:00:00,2022-05-17,system,Renewal payment received
204,44,Active,2022-05-17 00:00:00,2023-02-01,system,Membership active before annual renewal
205,44,Pending Renewal,2023-02-01 00:00:00,2023-03-20,finance_officer,Renewal payment received
206,44,Active,2023-03-20 00:00:00,2024-02-01,system,Membership active before annual renewal
207,44,Pending Renewal,2024-02-01 00:00:00,2024-08-01,system,Renewal overdue for more than 6 months
208,44,Inactive,2024-08-01 00:00:00,2025-08-01,system,Inactive for more than 1 year
209,44,Cancelled,2025-08-01 00:00:00,,system,Current member status
210,45,Active,2021-12-28 10:39:16,2022-02-01,system,Membership active before annual renewal
211,45,Pending Renewal,2022-02-01 00:00:00,2022-08-01,system,Renewal overdue for more than 6 months
212,45,Inactive,2022-08-01 00:00:00,2023-08-01,system,Inactive for more than 1 year
213,45,Cancelled,2023-08-01 00:00:00,,system,Current member status
214,46,Active,2023-08-25 01:24:15,2024-02-01,system,Membership active before annual renewal
215,46,Pending Renewal,2024-02-01 00:00:00,2024-07-15,system,Renewal payment received
216,46,Active,2024-07-15 00:00:00,2025-02-01,system,Membership active before annual renewal
217,46,Pending Renewal,2025-02-01 00:00:00,2025-03-02,system,Renewal payment received
218,46,Active,2025-03-02 00:00:00,2026-02-01,system,Membership active before annual renewal
219,46,Pending Renewal,2026-02-01 00:00:00,2026-04-22,finance_officer,Renewal payment received
220,46,Active,2026-04-22 00:00:00,,system,Current member status
221,47,Active,2025-03-30 19:17:09,2026-02-01,system,Membership active before annual renewal
222,47,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
223,48,Active,2025-04-15 20:14:02,2026-02-01,system,Membership active before annual renewal
224,48,Pending Renewal,2026-02-01 00:00:00,2026-05-31,finance_officer,Renewal payment received
225,48,Active,2026-05-31 00:00:00,,system,Current member status
226,49,Active,2024-03-06 00:11:03,2025-02-01,system,Membership active before annual renewal
227,49,Pending Renewal,2025-02-01 00:00:00,2025-07-08,finance_officer,Renewal payment received
228,49,Active,2025-07-08 00:00:00,2026-02-01,system,Membership active before annual renewal
229,49,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
230,50,Active,2026-07-13 15:35:31,,system,Current member status
231,51,Active,2023-05-04 21:39:50,2024-02-01,system,Membership active before annual renewal
232,51,Pending Renewal,2024-02-01 00:00:00,2024-07-30,system,Renewal payment received
233,51,Active,2024-07-30 00:00:00,2025-02-01,system,Membership active before annual renewal
234,51,Pending Renewal,2025-02-01 00:00:00,2025-06-19,system,Renewal payment received
235,51,Active,2025-06-19 00:00:00,2026-02-01,system,Membership active before annual renewal
236,51,Pending Renewal,2026-02-01 00:00:00,2026-05-21,finance_officer,Renewal payment received
237,51,Active,2026-05-21 00:00:00,,system,Current member status
238,52,Active,2026-03-22 11:35:49,,system,Current member status
239,53,Active,2022-11-06 06:56:48,2023-02-01,system,Membership active before annual renewal
240,53,Pending Renewal,2023-02-01 00:00:00,2023-05-20,finance_officer,Renewal payment received
241,53,Active,2023-05-20 00:00:00,2024-02-01,system,Membership active before annual renewal
242,53,Pending Renewal,2024-02-01 00:00:00,2024-05-07,system,Renewal payment received
243,53,Active,2024-05-07 00:00:00,2025-02-01,system,Membership active before annual renewal
244,53,Pending Renewal,2025-02-01 00:00:00,2025-03-19,membership_officer,Renewal payment received
245,53,Active,2025-03-19 00:00:00,2026-02-01,system,Membership active before annual renewal
246,53,Pending Renewal,2026-02-01 00:00:00,2026-03-18,system,Renewal payment received
247,53,Active,2026-03-18 00:00:00,,system,Current member status
248,54,Active,2022-02-22 10:26:35,2023-02-01,system,Membership active before annual renewal
249,54,Pending Renewal,2023-02-01 00:00:00,2023-03-31,membership_officer,Renewal payment received
250,54,Active,2023-03-31 00:00:00,2024-02-01,system,Membership active before annual renewal
251,54,Pending Renewal,2024-02-01 00:00:00,2024-04-22,membership_officer,Renewal payment received
252,54,Active,2024-04-22 00:00:00,2025-02-01,system,Membership active before annual renewal
253,54,Pending Renewal,2025-02-01 00:00:00,2025-02-11,finance_officer,Renewal payment received
254,54,Active,2025-02-11 00:00:00,2026-02-01,system,Membership active before annual renewal
255,54,Pending Renewal,2026-02-01 00:00:00,2026-04-27,membership_officer,Renewal payment received
256,54,Active,2026-04-27 00:00:00,,system,Current member status
257,55,Active,2023-10-08 00:25:32,2024-02-01,system,Membership active before annual renewal
258,55,Pending Renewal,2024-02-01 00:00:00,2024-05-08,finance_officer,Renewal payment received
259,55,Active,2024-05-08 00:00:00,2025-02-01,system,Membership active before annual renewal
260,55,Pending Renewal,2025-02-01 00:00:00,2025-05-30,finance_officer,Renewal payment received
261,55,Active,2025-05-30 00:00:00,2026-02-01,system,Membership active before annual renewal
262,55,Pending Renewal,2026-02-01 00:00:00,2026-02-13,system,Renewal payment received
263,55,Active,2026-02-13 00:00:00,,system,Current member status
264,56,Active,2021-11-30 08:09:06,2022-02-01,system,Membership active before annual renewal
265,56,Pending Renewal,2022-02-01 00:00:00,2022-07-10,system,Renewal payment received
266,56,Active,2022-07-10 00:00:00,2023-02-01,system,Membership active before annual renewal
267,56,Pending Renewal,2023-02-01 00:00:00,2023-05-26,system,Renewal payment received
268,56,Active,2023-05-26 00:00:00,2024-02-01,system,Membership active before annual renewal
269,56,Pending Renewal,2024-02-01 00:00:00,2024-05-20,finance_officer,Renewal payment received
270,56,Active,2024-05-20 00:00:00,2025-02-01,system,Membership active before annual renewal
271,56,Pending Renewal,2025-02-01 00:00:00,2025-07-31,system,Renewal payment received
272,56,Active,2025-07-31 00:00:00,2026-02-01,system,Membership active before annual renewal
273,56,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
274,57,Active,2026-04-11 06:00:10,,system,Current member status
275,58,Active,2024-03-25 01:18:58,2025-02-01,system,Membership active before annual renewal
276,58,Pending Renewal,2025-02-01 00:00:00,2025-03-23,system,Renewal payment received
277,58,Active,2025-03-23 00:00:00,2026-02-01,system,Membership active before annual renewal
278,58,Pending Renewal,2026-02-01 00:00:00,2026-02-26,system,Renewal payment received
279,58,Active,2026-02-26 00:00:00,,system,Current member status
280,59,Active,2026-02-02 04:36:48,,system,Current member status
281,60,Active,2025-10-27 18:09:52,2026-02-01,system,Membership active before annual renewal
282,60,Pending Renewal,2026-02-01 00:00:00,2026-05-31,system,Renewal payment received
283,60,Active,2026-05-31 00:00:00,,system,Current member status
284,61,Active,2021-12-08 09:57:27,2022-02-01,system,Membership active before annual renewal
285,61,Pending Renewal,2022-02-01 00:00:00,2022-05-28,finance_officer,Renewal payment received
286,61,Active,2022-05-28 00:00:00,2023-02-01,system,Membership active before annual renewal
287,61,Pending Renewal,2023-02-01 00:00:00,2023-03-23,system,Renewal payment received
288,61,Active,2023-03-23 00:00:00,2024-02-01,system,Membership active before annual renewal
289,61,Pending Renewal,2024-02-01 00:00:00,2024-05-10,finance_officer,Renewal payment received
290,61,Active,2024-05-10 00:00:00,2025-02-01,system,Membership active before annual renewal
291,61,Pending Renewal,2025-02-01 00:00:00,2025-02-05,membership_officer,Renewal payment received
292,61,Active,2025-02-05 00:00:00,2026-02-01,system,Membership active before annual renewal
293,61,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
294,62,Active,2024-12-17 04:45:38,2025-02-01,system,Membership active before annual renewal
295,62,Pending Renewal,2025-02-01 00:00:00,2025-04-23,membership_officer,Renewal payment received
296,62,Active,2025-04-23 00:00:00,2026-02-01,system,Membership active before annual renewal
297,62,Pending Renewal,2026-02-01 00:00:00,2026-05-14,membership_officer,Renewal payment received
298,62,Active,2026-05-14 00:00:00,,system,Current member status
299,63,Active,2022-12-18 01:47:12,2023-02-01,system,Membership active before annual renewal
300,63,Pending Renewal,2023-02-01 00:00:00,2023-04-16,finance_officer,Renewal payment received
301,63,Active,2023-04-16 00:00:00,2024-02-01,system,Membership active before annual renewal
302,63,Pending Renewal,2024-02-01 00:00:00,2024-05-02,finance_officer,Renewal payment received
303,63,Active,2024-05-02 00:00:00,2025-02-01,system,Membership active before annual renewal
304,63,Pending Renewal,2025-02-01 00:00:00,2025-08-01,system,Renewal overdue for more than 6 months
305,63,Inactive,2025-08-01 00:00:00,,system,Current member status
306,64,Active,2022-05-24 02:39:42,2023-02-01,system,Membership active before annual renewal
307,64,Pending Renewal,2023-02-01 00:00:00,2023-04-01,system,Renewal payment received
308,64,Active,2023-04-01 00:00:00,2024-02-01,system,Membership active before annual renewal
309,64,Pending Renewal,2024-02-01 00:00:00,2024-07-18,membership_officer,Renewal payment received
310,64,Active,2024-07-18 00:00:00,2025-02-01,system,Membership active before annual renewal
311,64,Pending Renewal,2025-02-01 00:00:00,2025-06-17,finance_officer,Renewal payment received
312,64,Active,2025-06-17 00:00:00,2026-02-01,system,Membership active before annual renewal
313,64,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
314,65,Active,2022-06-11 04:24:52,2023-02-01,system,Membership active before annual renewal
315,65,Pending Renewal,2023-02-01 00:00:00,2023-02-08,finance_officer,Renewal payment received
316,65,Active,2023-02-08 00:00:00,2024-02-01,system,Membership active before annual renewal
317,65,Pending Renewal,2024-02-01 00:00:00,2024-07-28,membership_officer,Renewal payment received
318,65,Active,2024-07-28 00:00:00,2025-02-01,system,Membership active before annual renewal
319,65,Pending Renewal,2025-02-01 00:00:00,2025-05-01,system,Renewal payment received
320,65,Active,2025-05-01 00:00:00,2026-02-01,system,Membership active before annual renewal
321,65,Pending Renewal,2026-02-01 00:00:00,2026-03-13,membership_officer,Renewal payment received
322,65,Active,2026-03-13 00:00:00,,system,Current member status
323,66,Active,2023-02-21 02:59:51,2024-02-01,system,Membership active before annual renewal
324,66,Pending Renewal,2024-02-01 00:00:00,2024-07-08,system,Renewal payment received
325,66,Active,2024-07-08 00:00:00,2025-02-01,system,Membership active before annual renewal
326,66,Pending Renewal,2025-02-01 00:00:00,2025-02-28,membership_officer,Renewal payment received
327,66,Active,2025-02-28 00:00:00,2026-02-01,system,Membership active before annual renewal
328,66,Pending Renewal,2026-02-01 00:00:00,2026-04-08,membership_officer,Renewal payment received
329,66,Active,2026-04-08 00:00:00,,system,Current member status
330,67,Active,2024-03-02 13:39:15,2025-02-01,system,Membership active before annual renewal
331,67,Pending Renewal,2025-02-01 00:00:00,2025-07-27,system,Renewal payment received
332,67,Active,2025-07-27 00:00:00,2026-02-01,system,Membership active before annual renewal
333,67,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
334,68,Active,2022-09-16 10:48:43,2023-02-01,system,Membership active before annual renewal
335,68,Pending Renewal,2023-02-01 00:00:00,2023-06-23,membership_officer,Renewal payment received
336,68,Active,2023-06-23 00:00:00,2024-02-01,system,Membership active before annual renewal
337,68,Pending Renewal,2024-02-01 00:00:00,2024-05-23,membership_officer,Renewal payment received
338,68,Active,2024-05-23 00:00:00,2025-02-01,system,Membership active before annual renewal
339,68,Pending Renewal,2025-02-01 00:00:00,2025-02-10,system,Renewal payment received
340,68,Active,2025-02-10 00:00:00,2026-02-01,system,Membership active before annual renewal
341,68,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
342,69,Active,2024-06-09 00:32:45,2025-02-01,system,Membership active before annual renewal
343,69,Pending Renewal,2025-02-01 00:00:00,2025-05-29,system,Renewal payment received
344,69,Active,2025-05-29 00:00:00,2026-02-01,system,Membership active before annual renewal
345,69,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
346,70,Active,2024-11-24 19:25:51,2025-02-01,system,Membership active before annual renewal
347,70,Pending Renewal,2025-02-01 00:00:00,2025-02-12,finance_officer,Renewal payment received
348,70,Active,2025-02-12 00:00:00,2026-02-01,system,Membership active before annual renewal
349,70,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
